Vivado Simulator 2019.2
Time resolution is 1 ps
Simulation start: state=00, LED=101011001
Time=335000 | After next pressed | state=00, LED=101011001, LED[0]=1
Time=555000 | After next pressed | state=00, LED=111000100, LED[0]=0
Time=775000 | After next pressed | state=10, LED=011100010, LED[0]=0
Time=995000 | After next pressed | state=10, LED=001110001, LED[0]=1
Time=1215000 | After next pressed | state=10, LED=101010000, LED[0]=0
Time=1435000 | After next pressed | state=10, LED=010101000, LED[0]=0
Time=1655000 | After next pressed | state=10, LED=001010100, LED[0]=0
Time=1875000 | After next pressed | state=01, LED=000101010, LED[0]=0
Time=2095000 | After next pressed | state=11, LED=000010101, LED[0]=1
Time=2315000 | After next pressed | state=11, LED=101100010, LED[0]=0
Time=2535000 | After next pressed | state=10, LED=010110001, LED[0]=1
Time=2755000 | After next pressed | state=10, LED=100110000, LED[0]=0
Time=2975000 | After next pressed | state=10, LED=010011000, LED[0]=0
Time=3195000 | After next pressed | state=10, LED=001001100, LED[0]=0
Time=3415000 | After next pressed | state=01, LED=000100110, LED[0]=0
Time=3635000 | After next pressed | state=00, LED=000010011, LED[0]=1
Time=3855000 | After next pressed | state=00, LED=101100001, LED[0]=1
Time=4075000 | After next pressed | state=00, LED=111011000, LED[0]=0
Time=4295000 | After next pressed | state=00, LED=011101100, LED[0]=0
Time=4515000 | After next pressed | state=10, LED=001110110, LED[0]=0
Time=4735000 | After next pressed | state=01, LED=000111011, LED[0]=1
Time=4955000 | After next pressed | state=11, LED=101110101, LED[0]=1
Time=5175000 | After next pressed | state=11, LED=111010010, LED[0]=0
Time=5395000 | After next pressed | state=10, LED=011101001, LED[0]=1
Time=5615000 | After next pressed | state=10, LED=100011100, LED[0]=0
Time=5835000 | After next pressed | state=01, LED=010001110, LED[0]=0
Time=6055000 | After next pressed | state=00, LED=001000111, LED[0]=1
Time=6275000 | After next pressed | state=10, LED=101001011, LED[0]=1
Time=6495000 | After next pressed | state=10, LED=111001101, LED[0]=1
Time=6715000 | After next pressed | state=01, LED=110001110, LED[0]=0
Time=6935000 | After next pressed | state=00, LED=011000111, LED[0]=1
Time=7155000 | After next pressed | state=10, LED=100001011, LED[0]=1
Time=7375000 | After next pressed | state=10, LED=111101101, LED[0]=1
Time=7595000 | After next pressed | state=01, LED=110011110, LED[0]=0
Time=7815000 | After next pressed | state=00, LED=011001111, LED[0]=1
Time=8035000 | After next pressed | state=10, LED=100001111, LED[0]=1
Time=8255000 | After next pressed | state=01, LED=111101111, LED[0]=1
Time=8475000 | After next pressed | state=00, LED=110011111, LED[0]=1
Time=8695000 | After next pressed | state=10, LED=110100111, LED[0]=1
Time=8915000 | After next pressed | state=01, LED=110111011, LED[0]=1
Time=9135000 | After next pressed | state=11, LED=110110101, LED[0]=1
Time=9355000 | After next pressed | state=11, LED=110110010, LED[0]=0
Time=9575000 | After next pressed | state=10, LED=011011001, LED[0]=1
Time=9795000 | After next pressed | state=10, LED=100000100, LED[0]=0
